"","TractID","Year","TotalFilings","TotalHousehold2019","EvictionRate","PovertyRate","EducationRate","UninsurRate","MinorityRate","RenterRate","UnempRate","RentBurdenRate"
"125",13089021908,"20",228,2022,0.112759643916914,0.18,0.157465495608532,0.136,0.0683791606367583,0.659979939819458,0.065,0.473404255319149
"126",13089021910,"20",142,2199,0.064574806730332,0.168,0.253330271015158,0.12,0.11778804999144,0.464485578992682,0.063,0.626506024096386
"127",13089021911,"20",383,777,0.492921492921493,0.477,0.21312462372065,0.255,0.0289672544080605,0.914666666666667,0.068,0.722060252672498
"128",13089021912,"20",3,1447,0.00207325501036628,0.061,0.687802516940949,0.068,0.516191530584002,0.0308039068369647,0.064,0.658536585365854
"129",13089021913,"20",622,1977,0.314618108244815,0.336,0.232820512820513,0.242,0.0535640708693861,0.96417445482866,0.075,0.532040926225094
"130",13089022001,"20",43,1968,0.021849593495935,0.067,0.437766714082504,0.122,0.577335375191424,0.385326086956522,0.036,0.513399153737659
"131",13089022005,"20",143,1751,0.0816676185037122,0.239,0.236614853195164,0.193,0.11452347929463,0.671019900497512,0.03,0.551436515291937
"132",13089022007,"20",108,1104,0.0978260869565217,0.347,0.184081814139618,0.338,0.0893703452945159,0.938962360122075,0.136,0.543878656554713
"133",13089022010,"20",1,652,0.00153374233128834,0.133,0.214869888475836,0.232,0.198390342052314,0.355095541401274,0.063,0.569506726457399
"134",13089022100,"20",79,1475,0.0535593220338983,0.235,0.384071630537229,0.147,0.22389846743295,0.556118754525706,0.058,0.463541666666667
"135",13089022203,"20",83,1170,0.0709401709401709,0.152,0.517498565691337,0.15,0.44394250513347,0.809954751131222,0.114,0.375418994413408
"136",13089022302,"20",19,2052,0.00925925925925926,0.106,0.700671704450042,0.019,0.642794182459233,0.425057208237986,0.006,0.48721399730821
"137",13089022401,"20",16,1847,0.00866269626421224,0.105,0.818544005795002,0.021,0.779012894619831,0.373474801061008,0.034,0.522727272727273
"138",13089022403,"20",1,1450,0.000689655172413793,0.027,0.731552162849873,0.016,0.831512503034717,0.0636896046852123,0,0.160919540229885
"139",13089022700,"20",7,1730,0.00404624277456647,0.044,0.732927220262905,0.043,0.687004608294931,0.190781796966161,0.055,0.458715596330275
"140",13089022800,"20",3,1308,0.00229357798165138,0.049,0.688907777305567,0.021,0.675122178263905,0.229910714285714,0.048,0.310679611650485
"141",13089022900,"20",37,1678,0.0220500595947557,0.044,0.693439363817097,0.054,0.61949823943662,0.173043974871502,0.023,0.429042904290429
"142",13089023000,"20",5,973,0.00513874614594039,0.036,0.755389718076285,0.011,0.802016498625115,0.295065458207452,0.014,0.42320819112628
"143",13089023101,"20",69,1721,0.0400929692039512,0.12,0.334239951647023,0.165,0.283812193412754,0.391454965357968,0.112,0.529498525073746
"144",13089023102,"20",134,1539,0.0870695256660169,0.111,0.361456892577225,0.098,0.404074186682882,0.515442690459849,0.046,0.649800266311585
